country,world_happiness_score,world_happiness_score_scaled,population,PopAge,PopAge_scaled,Internet,Internet_scaled,%PopUnemployed,%PopUnemployed_scaled,GPI,GPI_scaled,Sleep,Sleep_scaled,Workinghours,Workinghours_scaled,Vacationdays,Vacationdays_scaled,Leisure,Leisure_scaled,MentalHealth,MentalHealth_scaled
Sweden,7.38,0.94,10000000.00,62.05,0.74,94.54,0.95,8.29,0.28,1.47,0.40,483.00,0.87,1609.00,0.66,34.00,0.64,321.00,0.87,15.33,0.79
Switzerland,7.51,0.96,8640000.00,65.94,0.79,93.15,0.93,4.82,0.16,1.35,0.37,0.00,0.00,1590.00,0.65,27.00,0.51,0.00,0.00,17.08,0.88
Tajikistan,5.38,0.69,9000000.00,59.55,0.71,21.96,0.22,7.58,0.26,2.13,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.04,0.57
Tanzania,3.70,0.47,57000000.00,53.80,0.64,20.00,0.20,2.53,0.09,1.83,0.50,0.00,0.00,0.00,0.00,37.00,0.70,0.00,0.00,12.58,0.65
Thailand,5.89,0.75,69800000.00,70.49,0.84,77.84,0.78,1.10,0.04,2.23,0.61,0.00,0.00,2185.00,0.89,19.00,0.36,0.00,0.00,12.04,0.62
Togo,4.11,0.53,8000000.00,56.46,0.67,19.30,0.19,3.95,0.14,2.18,0.60,0.00,0.00,0.00,0.00,22.00,0.42,0.00,0.00,12.31,0.64
Tunisia,4.52,0.58,12000000.00,66.84,0.80,66.70,0.67,16.59,0.57,2.08,0.57,0.00,0.00,0.00,0.00,16.00,0.30,0.00,0.00,16.08,0.83
Turkey,4.74,0.61,81000000.00,67.08,0.80,77.67,0.78,13.11,0.45,2.90,0.79,515.00,0.93,1832.00,0.75,27.00,0.51,286.00,0.78,14.40,0.74
Turkmenistan,5.47,0.70,6000000.00,64.44,0.77,21.25,0.21,4.95,0.17,2.17,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.53,0.54
Uganda,4.60,0.59,43000000.00,52.00,0.62,3.67,0.04,2.77,0.09,2.22,0.61,0.00,0.00,0.00,0.00,28.00,0.53,0.00,0.00,14.59,0.75
Ukraine,5.08,0.65,45000000.00,67.06,0.80,70.13,0.70,9.13,0.31,2.88,0.79,0.00,0.00,0.00,0.00,37.00,0.70,0.00,0.00,12.40,0.64
United Arab Emirates,6.58,0.84,9890000.00,83.92,1.00,100.00,1.00,3.19,0.11,1.90,0.52,0.00,0.00,0.00,0.00,40.00,0.75,0.00,0.00,12.53,0.65
United Kingdom,6.94,0.89,66000000.00,63.67,0.76,94.82,0.95,4.47,0.15,1.73,0.48,508.00,0.92,1670.00,0.68,28.00,0.53,306.00,0.83,15.13,0.78
United States,6.98,0.89,326000000.00,65.00,0.77,89.43,0.89,8.05,0.28,2.27,0.62,528.00,0.95,1757.00,0.72,0.00,0.00,286.00,0.78,16.94,0.88
Uruguay,6.47,0.83,3500000.00,64.58,0.77,83.35,0.83,10.35,0.35,1.70,0.47,0.00,0.00,1552.00,0.63,25.00,0.47,0.00,0.00,14.15,0.73
Uzbekistan,6.06,0.78,32000000.00,66.41,0.79,70.40,0.70,7.04,0.24,2.06,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.56,0.55
Vanuatu,4.93,0.63,307000.00,57.98,0.69,25.72,0.26,2.12,0.07,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.28,0.00,0.00,11.97,0.62
Vietnam,5.49,0.70,97300000.00,68.94,0.82,70.29,0.70,2.39,0.08,1.94,0.53,0.00,0.00,2170.00,0.88,23.00,0.43,0.00,0.00,9.52,0.49
Yemen,4.20,0.54,29800000.00,58.24,0.69,26.72,0.27,13.39,0.46,3.33,0.91,0.00,0.00,0.00,0.00,37.00,0.70,0.00,0.00,16.40,0.85
Zambia,3.76,0.48,18400000.00,53.85,0.64,19.00,0.19,12.85,0.44,1.82,0.50,0.00,0.00,0.00,0.00,31.00,0.58,0.00,0.00,12.11,0.63
Zimbabwe,3.00,0.38,17000000.00,55.08,0.66,25.10,0.25,5.35,0.18,2.43,0.67,0.00,0.00,0.00,0.00,33.00,0.62,0.00,0.00,11.12,0.57
